sensor_id,city,lat,lon
1,Vienna,48.2,16.366667
2,Linz,48.3,14.3
3,Graz,47.066667,15.45
4,Salzburg,47.8,13.033333
5,Innsbruck,47.266667,11.4
6,Klagenfurt,46.624722,14.305278
7,Wiener Neustadt,47.8,16.25
8,Bregenz,47.5,9.766667
9,Eisenstadt,47.85,16.516667
10,Dornbirn,47.416667,9.733056
11,Deutschlandsberg,46.815278,15.222222
12,Hartberg,47.283333,15.966667
13,Vöcklabruck,48.016667,13.65
14,Judenburg,47.166667,14.666667
15,Villach,46.610278,13.855833
16,Sankt Johann im Pongau,47.35,13.2
17,Voitsberg,47.033333,15.15
18,Zwettl,48.616667,15.166667
19,Scheibbs,48,15.166667
20,Kirchdorf,47.9,14.116667
21,Gmunden,47.916667,13.8
22,Hollabrunn,48.55,16.083333
23,Wels,48.166667,14.033333
24,Gmünd,48.766667,14.983333
25,Völkermarkt,46.662222,14.634444
26,Kitzbühel,47.45,12.383333
27,Freistadt,48.5,14.5
28,Tulln,48.333333,16.05
29,Schwaz,47.333333,11.7
30,Tamsweg,47.133333,13.8
31,Mistelbach,48.57,16.576667
32,Zell am See,47.316667,12.783333
33,Sankt Pölten,48.2,15.633333
34,Horn,48.65,15.65
35,Leibnitz,46.781667,15.541667
36,Perg,48.25,14.633333
37,Amstetten,48.116667,14.866667
38,Korneuburg,48.35,16.333333
39,Rohrbach,48.566667,13.983333
40,Lienz,46.831111,12.759722
41,Hermagor,46.627222,13.367222
42,Reutte,47.483333,10.716667
43,Bruck an der Mur,47.416667,15.283333
44,Bruck an der Leitha,48.016667,16.766667
45,Imst,47.233333,10.733333
46,Leoben,47.383333,15.1
47,Sankt Veit an der Glan,46.768056,14.360278
48,Gänserndorf,48.338876,16.722157
49,Melk,48.216667,15.316667
50,Hallein,47.683333,13.1
51,Mattersburg,47.733333,16.4
52,Feldkirchen,46.716667,14.1
53,Murau,47.110556,14.169444
54,Feldbach,46.953056,15.888333
55,Bludenz,47.149722,9.816667
56,Krems an der Donau,48.416667,15.6
57,Mödling,48.083333,16.283333
58,Klosterneuburg,48.3,16.316667
59,Steyr,48.05,14.416667
60,Neusiedl am See,47.933333,16.833333
61,Neunkirchen,47.716667,16.083333
62,Wolfsberg,46.840556,14.844167
63,Landeck,47.133333,10.566667
64,Eferding,48.316667,14.016667
65,Weiz,47.216667,15.616667
66,Spittal an der Drau,46.8,13.5
67,Waidhofen an der Thaya,48.816667,15.283333
68,Rust,47.8,16.666667
69,Baden,48.016667,16.233333
70,Liezen,47.566667,14.233333
71,Oberwart,47.283333,16.2
72,Ried im Innkreis,48.216667,13.5
73,Oberpullendorf,47.5,16.516667
74,Güssing,47.066667,16.333333
75,Grieskirchen,48.233333,13.833333
76,Schärding,48.45,13.433333
77,Lilienfeld,48.016667,15.633333
78,Jennersdorf,46.939167,16.146667
79,Kufstein,47.583333,12.166667
80,Braunau am Inn,48.266667,13.033333
81,Vienna,48.2,16.366667
82,Linz,48.3,14.3
83,Graz,47.066667,15.45
84,Salzburg,47.8,13.033333
85,Innsbruck,47.266667,11.4
86,Klagenfurt,46.624722,14.305278
87,Wiener Neustadt,47.8,16.25
88,Bregenz,47.5,9.766667
89,Eisenstadt,47.85,16.516667
90,Dornbirn,47.416667,9.733056
91,Deutschlandsberg,46.815278,15.222222
92,Hartberg,47.283333,15.966667
93,Vöcklabruck,48.016667,13.65
94,Judenburg,47.166667,14.666667
95,Villach,46.610278,13.855833
96,Sankt Johann im Pongau,47.35,13.2
97,Voitsberg,47.033333,15.15
98,Zwettl,48.616667,15.166667
99,Scheibbs,48,15.166667
100,Kirchdorf,47.9,14.116667
